station_code,datetime_UTC,t_out,rh_out,lat,long,time_zone
724830-23232,2018-01-01T00:00:00Z,12.2,66.56496588,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T01:00:00Z,10.6,71.45724266,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T02:00:00Z,9.4,80.07409398,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T03:00:00Z,10,74.35418897,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T04:00:00Z,8.9,80.00646215,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T05:00:00Z,7.8,82.65847745,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T06:00:00Z,7.2,86.07555283,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T07:00:00Z,4.4,96.60214545,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T08:00:00Z,4.4,96.60214545,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T09:00:00Z,5.2,94.66424454,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T10:00:00Z,5,95.95333742,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T11:00:00Z,5.6,95.9716738,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T12:00:00Z,6.1,92.75089629,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T13:00:00Z,5.6,95.9716738,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T14:00:00Z,5.6,95.9716738,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T15:00:00Z,3.9,100,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T16:00:00Z,6.7,96.00486252,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T17:00:00Z,10.6,79.69331198,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T18:00:00Z,13.3,64.55412919,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T19:00:00Z,15,55.5186116,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T20:00:00Z,16.7,51.89520783,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T21:00:00Z,17.8,46.4528715,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T22:00:00Z,18.3,45.01192502,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-01T23:00:00Z,16.7,49.80452414,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-02T00:00:00Z,15,51.46429968,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-02T01:00:00Z,11.1,69.13776111,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-02T02:00:00Z,9.4,77.38074489,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-02T03:00:00Z,8.3,83.28740523,38.5816,-121.4944,America/Los_Angeles
724830-23232,2018-01-02T04:00:00Z,8.3,86.18357232,38.5816,-121.4944,America/Los_Angeles
